type,client,tx,amount
dispute,856,1,357.8524
withdrawal,922,2,87.1226
withdrawal,826,3,206.8954
withdrawal,205,4,815.3586
dispute,912,5,916.5011
dispute,274,6,507.3378
withdrawal,156,7,341.0516
dispute,768,8,152.2765
resolve,239,9,442.7829
resolve,951,10,208.5595
dispute,960,11,473.0456
withdrawal,691,12,16.365
chargeback,898,13,886.4919
resolve,355,14,663.7531
deposit,507,15,768.4072
dispute,520,16,61.4286
chargeback,928,17,114.23
deposit,348,18,531.9768
resolve,158,19,100.3194
deposit,171,20,326.3328
withdrawal,211,21,926.1923
dispute,590,22,800.122
resolve,970,23,470.5255
withdrawal,122,24,413.6222
resolve,43,25,610.537
deposit,844,26,233.4476
resolve,11,27,648.5813
withdrawal,699,28,51.3937
dispute,770,29,555.2245
deposit,284,30,135.5022
dispute,839,31,762.7742
dispute,733,32,614.6354
resolve,722,33,576.9726
withdrawal,764,34,164.8027
deposit,896,35,141.133
chargeback,690,36,711.9516
withdrawal,360,37,148.8931
resolve,775,38,169.8571
resolve,674,39,633.0318
deposit,152,40,582.689
dispute,189,41,761.4916
dispute,121,42,464.5375
chargeback,69,43,978.709
dispute,831,44,383.144
resolve,268,45,727.6654
chargeback,339,46,519.4496
dispute,448,47,737.5904
chargeback,426,48,29.3896
deposit,131,49,994.4031
withdrawal,372,50,928.3671
withdrawal,855,51,666.5076
withdrawal,455,52,454.0529
dispute,842,53,881.3715
chargeback,736,54,805.6235
withdrawal,214,55,126.7345
resolve,661,56,259.0897
dispute,500,57,958.9643
deposit,131,58,625.4242
withdrawal,881,59,354.6523
chargeback,320,60,579.162
deposit,913,61,786.9794
deposit,931,62,376.3063
deposit,984,63,152.6539
withdrawal,384,64,654.4327
withdrawal,738,65,823.1259
deposit,635,66,679.559
deposit,310,67,405.1763
resolve,398,68,204.1493
deposit,960,69,422.4633
withdrawal,833,70,581.852
dispute,541,71,710.6309
withdrawal,720,72,423.062
deposit,667,73,385.7196
deposit,273,74,323.7301
withdrawal,370,75,834.8652
chargeback,18,76,873.3847
chargeback,187,77,440.1672
deposit,574,78,196.8285
chargeback,777,79,37.4668
dispute,634,80,782.9841
withdrawal,947,81,978.9951
chargeback,882,82,622.798
withdrawal,684,83,68.5979
dispute,469,84,341.2222
deposit,261,85,733.1913
withdrawal,203,86,885.3238
withdrawal,779,87,301.5312
resolve,865,88,611.753
resolve,522,89,11.5577
chargeback,787,90,77.6
withdrawal,743,91,784.4177
dispute,411,92,348.6988
dispute,702,93,745.2725
chargeback,366,94,440.1383
chargeback,349,95,386.557
resolve,83,96,781.2123
withdrawal,62,97,67.2206
chargeback,852,98,351.6585
dispute,567,99,587.2938
chargeback,849,100,593.1985
deposit,861,101,968.8577
dispute,354,102,160.1428
withdrawal,878,103,634.6994
resolve,854,104,691.2801
resolve,142,105,770.8574
deposit,237,106,725.3467
chargeback,854,107,359.8949
withdrawal,594,108,868.5687
withdrawal,490,109,560.4806
withdrawal,976,110,913.3445
withdrawal,670,111,110.8397
resolve,572,112,429.5565
dispute,933,113,505.955
chargeback,191,114,593.1112
withdrawal,15,115,589.0342
deposit,222,116,93.675
deposit,363,117,581.5584
withdrawal,459,118,678.9649
chargeback,827,119,963.4574
deposit,102,120,549.0206
dispute,345,121,97.4658
resolve,217,122,577.393
dispute,599,123,1.7436
deposit,212,124,967.3693
deposit,181,125,749.454
chargeback,963,126,349.4671
chargeback,419,127,747.6981
deposit,95,128,804.5924
withdrawal,711,129,519.8808
dispute,801,130,146.6449
deposit,147,131,118.6178
chargeback,42,132,724.2679
withdrawal,129,133,545.3692
deposit,720,134,544.5398
chargeback,984,135,953.9347
withdrawal,946,136,675.3264
dispute,867,137,807.6221
withdrawal,813,138,843.8998
