type,client,tx,amount
resolve,958,1,10.3585
deposit,793,2,798.1894
resolve,193,3,201.7854
withdrawal,999,4,313.8479
chargeback,389,5,653.1795
chargeback,751,6,537.2264
deposit,628,7,660.2967
chargeback,695,8,353.0747
resolve,501,9,822.0402
resolve,996,10,87.3707
resolve,131,11,547.3353
deposit,754,12,41.131
resolve,838,13,16.1423
chargeback,622,14,159.957
chargeback,618,15,518.6629
chargeback,302,16,942.3018
withdrawal,183,17,354.7942
withdrawal,234,18,750.2201
withdrawal,613,19,911.0463
withdrawal,924,20,721.3535
resolve,874,21,962.1982
withdrawal,924,22,572.2118
chargeback,658,23,367.8615
resolve,862,24,965.2645
deposit,135,25,749.1366
resolve,847,26,577.3523
deposit,298,27,544.6677
chargeback,121,28,665.9839
withdrawal,137,29,11.1102
deposit,945,30,928.865
deposit,93,31,814.7194
dispute,497,32,28.18
resolve,568,33,69.9481
withdrawal,815,34,904.1412
deposit,621,35,223.3209
deposit,510,36,483.7296
resolve,829,37,132.5726
withdrawal,869,38,129.0782
withdrawal,241,39,331.3537
resolve,877,40,672.4993
chargeback,54,41,547.9993
chargeback,975,42,613.0307
chargeback,944,43,780.021
withdrawal,78,44,713.8007
dispute,435,45,699.9976
withdrawal,37,46,150.9659
resolve,52,47,70.2244
dispute,609,48,809.111
deposit,37,49,272.1177
dispute,491,50,871.7412
deposit,802,51,617.6408
dispute,997,52,215.6848
dispute,1,53,211.34
chargeback,2,54,771.238
chargeback,546,55,345.4361
chargeback,559,56,363.8547
deposit,910,57,526.7859
withdrawal,626,58,473.0857
resolve,113,59,873.1776
deposit,757,60,159.2461
withdrawal,705,61,432.0333
withdrawal,269,62,82.8237
deposit,586,63,863.9493
withdrawal,60,64,253.5991
resolve,547,65,279.9718
withdrawal,527,66,998.5948
deposit,874,67,386.9566
dispute,738,68,711.5954
deposit,292,69,996.4828
deposit,161,70,101.8186
deposit,262,71,569.2054
dispute,53,72,222.9141
dispute,108,73,673.5437
withdrawal,457,74,449.1554
deposit,520,75,53.9133
deposit,154,76,510.8268
chargeback,825,77,154.5373
deposit,887,78,719.7186
chargeback,687,79,65.9645
withdrawal,914,80,693.5123
resolve,257,81,966.112
chargeback,824,82,702.875
resolve,807,83,406.6642
chargeback,334,84,120.246
deposit,895,85,926.0164
resolve,164,86,759.3118
chargeback,558,87,148.029
chargeback,105,88,639.5925
resolve,369,89,768.4474
resolve,831,90,73.0604
chargeback,945,91,683.8241
dispute,683,92,230.7671
deposit,848,93,804.9672
withdrawal,351,94,262.7537
resolve,10,95,475.5194
withdrawal,36,96,388.7024
dispute,539,97,117.013
deposit,295,98,444.9552
chargeback,454,99,37.5867
resolve,964,100,392.3713
resolve,855,101,787.3521
resolve,953,102,867.5988
dispute,280,103,416.584
deposit,382,104,383.6091
resolve,961,105,347.3365
resolve,674,106,31.9972
resolve,129,107,553.9434
resolve,908,108,663.1768
dispute,233,109,358.9162
resolve,47,110,980.631
withdrawal,873,111,271.3983
dispute,280,112,454.4622
resolve,883,113,591.9457
chargeback,37,114,560.9942
dispute,912,115,978.3583
dispute,151,116,345.5937
resolve,219,117,808.3332
chargeback,24,118,79.3345
chargeback,232,119,365.095
chargeback,106,120,213.132
withdrawal,505,121,343.526
dispute,963,122,118.2188
chargeback,640,123,976.737
dispute,509,124,245.3161
dispute,968,125,248.0355
withdrawal,705,126,401.8314
dispute,781,127,872.3059
deposit,383,128,185.6548
dispute,556,129,761.058
chargeback,503,130,93.4012
chargeback,437,131,332.7716
resolve,896,132,508.4893
chargeback,646,133,995.1051
withdrawal,380,134,937.9296
chargeback,205,135,252.3857
deposit,816,136,300.7132
dispute,701,137,876.4311
withdrawal,926,138,402.3552
deposit,13,139,880.4256
dispute,611,140,496.6535
withdrawal,621,141,34.9483
withdrawal,542,142,748.9948
chargeback,969,143,752.7782
withdrawal,972,144,376.9969
chargeback,811,145,210.7477
deposit,512,146,910.6667
withdrawal,68,147,640.7832
dispute,146,148,706.0261
dispute,545,149,972.9326
chargeback,685,150,404.1222
dispute,389,151,997.065
dispute,474,152,63.8389
withdrawal,56,153,607.6607
chargeback,260,154,830.9175
dispute,666,155,452.7838
deposit,120,156,802.1664
chargeback,818,157,819.6309
resolve,153,158,905.8957
resolve,680,159,849.0026
chargeback,560,160,322.9284
resolve,782,161,299.7613
withdrawal,805,162,166.5767
resolve,554,163,168.2659
chargeback,682,164,372.3284
chargeback,157,165,271.7967
withdrawal,935,166,651.5297
chargeback,222,167,679.2657
deposit,502,168,146.1101
deposit,1000,169,148.9185
dispute,686,170,951.148
resolve,985,171,163.9708
withdrawal,496,172,453.9652
chargeback,342,173,254.2533
resolve,666,174,263.1263
deposit,438,175,921.2328
dispute,142,176,452.7117
deposit,890,177,784.3866
resolve,920,178,454.4066
deposit,908,179,940.0696
deposit,56,180,738.5779
withdrawal,153,181,325.5323
deposit,758,182,954.3418
resolve,46,183,128.1536
resolve,96,184,964.585
deposit,23,185,292.7761
withdrawal,52,186,80.8372
chargeback,704,187,790.2542
withdrawal,850,188,380.6535
withdrawal,288,189,526.22
chargeback,718,190,900.8209
deposit,751,191,58.7128
dispute,43,192,728.7074
chargeback,426,193,876.3644
chargeback,909,194,643.7326
deposit,582,195,764.4075
dispute,313,196,981.7397
dispute,645,197,656.2237
chargeback,737,198,424.7126
